Scenario,Month,Illuminance(lux)
msp_102_2011_1VB60, 03,82.45
msp_102_2011_1VB60, 04,79.39
msp_102_2011_1VB60, 05,74.98
msp_102_2011_1VB60, 06,74.43
msp_102_2011_1VB60, 07,72.01
msp_102_2011_1VB60, 08,76.82
msp_102_2011_1VB60, 09,81.45
msp_102_2011_1VB60, 10,75.8
msp_102_2011_1VB60, 11,55.03
msp_102_2011_1VB60, 12,47.29
msp_102_2011_1VB60-a, 01,65.06
msp_102_2011_1VB60-a, 02,80.77
msp_102_2011_1VB60-a, 03,82.45
msp_102_2011_1VB60-a, 04,79.39
msp_102_2011_1VB60-a, 05,74.98
msp_102_2011_1VB60-a, 06,74.43
msp_102_2011_1VB60-a, 07,72.01
msp_102_2011_1VB60-a, 08,76.82
msp_102_2011_1VB60-a, 09,81.45
msp_102_2011_1VB60-a, 10,75.8
msp_102_2011_1VB60-a, 11,55.03
msp_102_2011_1VB60-a, 12,47.29
msp_102_2011_1VB75, 01,26.39
msp_102_2011_1VB75, 02,33.53
msp_102_2011_1VB75, 03,35.39
msp_102_2011_1VB75, 04,35.09
msp_102_2011_1VB75, 05,33.56
msp_102_2011_1VB75, 06,32.79
msp_102_2011_1VB75, 07,31.68
msp_102_2011_1VB75, 08,33.9
msp_102_2011_1VB75, 09,35.13
msp_102_2011_1VB75, 10,31.96
msp_102_2011_1VB75, 11,22.46
msp_102_2011_1VB75, 12,19.11
msp_102_2011_1VB75-a, 01,26.39
msp_102_2011_1VB75-a, 02,33.53
msp_102_2011_1VB75-a, 03,35.39
msp_102_2011_1VB75-a, 04,35.09
msp_102_2011_1VB75-a, 05,33.56
msp_102_2011_1VB75-a, 06,32.79
msp_102_2011_1VB75-a, 07,31.68
msp_102_2011_1VB75-a, 08,33.9
msp_102_2011_1VB75-a, 09,35.13
msp_102_2011_1VB75-a, 10,31.96
msp_102_2011_1VB75-a, 11,22.46
msp_102_2011_1VB75-a, 12,19.11
msp_102_2011_base, 01,2044.03
msp_102_2011_base, 02,1891.4
msp_102_2011_base, 03,3407.05
msp_102_2011_base, 04,1722.07
msp_102_2011_base, 05,948.64
msp_102_2011_base, 06,966.01
msp_102_2011_base, 07,960.39
msp_102_2011_base, 08,1380.08
msp_102_2011_base, 09,3818.8
msp_102_2011_base, 10,2787.89
msp_102_2011_base, 11,1199.85
msp_102_2011_base, 12,1692.55
msp_102_2011_base-a, 01,2044.03
msp_102_2011_base-a, 02,1891.4
msp_102_2011_base-a, 03,3407.05
msp_102_2011_base-a, 04,1722.07
msp_102_2011_base-a, 05,948.64
msp_102_2011_base-a, 06,966.01
msp_102_2011_base-a, 07,960.39
msp_102_2011_base-a, 08,1380.08
msp_102_2011_base-a, 09,3818.8
msp_102_2011_base-a, 10,2787.89
msp_102_2011_base-a, 11,1199.85
msp_102_2011_base-a, 12,1692.55
msp_102_2011_cellularHT, 01,527.19
msp_102_2011_cellularHT, 02,696.43
msp_102_2011_cellularHT, 03,789.64
msp_102_2011_cellularHT, 04,878.89
msp_102_2011_cellularHT, 05,880.96
msp_102_2011_cellularHT, 06,899.96
msp_102_2011_cellularHT, 07,865.58
msp_102_2011_cellularHT, 08,871.16
msp_102_2011_cellularHT, 09,821.35
msp_102_2011_cellularHT, 10,684.43
msp_102_2011_cellularHT, 11,455.42
msp_102_2011_cellularHT, 12,377.83
msp_102_2011_cellularHT-a, 01,527.19
msp_102_2011_cellularHT-a, 02,696.43
msp_102_2011_cellularHT-a, 03,789.64
msp_102_2011_cellularHT-a, 04,878.89
msp_102_2011_cellularHT-a, 05,880.96
msp_102_2011_cellularHT-a, 06,899.96
msp_102_2011_cellularHT-a, 07,865.58
msp_102_2011_cellularHT-a, 08,871.16
msp_102_2011_cellularHT-a, 09,821.35
msp_102_2011_cellularHT-a, 10,684.43
msp_102_2011_cellularHT-a, 11,455.42
msp_102_2011_cellularHT-a, 12,377.83
msp_102_2011_cellularLT, 01,222.69
msp_102_2011_cellularLT, 02,291.91
msp_102_2011_cellularLT, 03,329.08
msp_102_2011_cellularLT, 04,366.91
msp_102_2011_cellularLT, 05,368.09
msp_102_2011_cellularLT, 06,377.34
