,Scenario,FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy($),HeatingEnergy($),CoolingEnergy($),AnnualEnergy(kBtu),AnnualCost($),DeltaEnergyFromBase,DeltaCostFromBase
153,lowE(2)/lowE(4)-BBG45,2223.73,113962.64,4931.05,85.63,945.89,189.89,121117.43,1221.42,2959.414110660058,-111.75608900690168
154,lowE(2)/lowE(4)-BBG60,2174.43,112324.15,4678.53,83.74,932.29,180.17,119177.11,1196.19,1019.0941106600658,-136.9860890069017
155,lowE(2)/lowE(4)-BBG75,2131.88,111172.6,4417.4,82.1,922.73,170.11,117721.88,1174.94,-436.13588933993015,-158.2360890069017
156,lowE(2)/lowE(4)-HTcellular,2163.65,103681.01,5950.44,83.32,860.55,229.15,111795.09,1173.02,-6362.925889339938,-160.15608900690177
157,lowE(2)/lowE(4)-LTcellular,2049.3,103039.12,4863.23,78.92,855.22,187.28,109951.65,1121.42,-8206.36588933994,-211.75608900690168
158,lowE(2)/lowE(4)-VB-15,2180.19,101772.9,6424.77,83.96,844.72,247.41,110377.85,1176.09,-7780.165889339929,-157.08608900690183
159,lowE(2)/lowE(4)-VB-30,2180.39,101822.26,6419.13,83.97,845.12,247.2,110421.78,1176.29,-7736.235889339936,-156.88608900690178
160,lowE(2)/lowE(4)-VB-45,2177.93,102663.52,6260.4,83.87,852.11,241.09,111101.85,1177.06,-7056.165889339929,-156.1160890069018
161,lowE(2)/lowE(4)-VB-60,2169.44,104192.66,5929.78,83.54,864.8,228.35,112291.88,1176.7,-5866.13588933993,-156.4760890069017
162,lowE(2)/lowE(4)-VB-75,2154.04,106193.77,5450.4,82.95,881.41,209.89,113798.22,1174.25,-4359.795889339934,-158.92608900690175
163,lowE(2)/lowE(4)-VB0,2177.68,102258.31,6322.11,83.86,848.74,243.46,110758.1,1176.07,-7399.915889339929,-157.1060890069018
164,lowE(2)/lowE(4)-VB15,2172.17,102999.32,6147.82,83.65,854.89,236.75,111319.31,1175.29,-6838.705889339937,-157.88608900690178
165,lowE(2)/lowE(4)-VB30,2164.45,103852.66,5932.33,83.35,861.98,228.45,111949.44,1173.78,-6208.5758893399325,-159.39608900690178
166,lowE(2)/lowE(4)-VB45,2154.54,104796.05,5679.01,82.97,869.81,218.7,112629.59,1171.47,-5528.425889339938,-161.70608900690172
167,lowE(2)/lowE(4)-VB60,2144.3,105846.24,5404.48,82.58,878.52,208.12,113395.03,1169.22,-4762.985889339936,-163.95608900690172
168,lowE(2)/lowE(4)-VB75,2138.19,107081.95,5142.34,82.34,888.78,198.03,114362.48,1169.15,-3795.535889339939,-164.02608900690166
169,lowE(2)/lowE(4)-argon,2224.1,100145.33,7136.78,85.65,831.21,274.83,109506.21,1191.69,-8651.805889339928,-141.4860890069017
170,lowE(2)/lowE(4)-argon-BBG-15,2259.94,110622.4,5842.54,87.03,918.17,224.99,118724.88,1230.19,566.8641106600699,-102.9860890069017
171,lowE(2)/lowE(4)-argon-BBG-30,2230.13,108196.52,5921.0,85.88,898.03,228.02,116347.66,1211.93,-1810.3558893399313,-121.24608900690168
172,lowE(2)/lowE(4)-argon-BBG-45,2196.12,106750.59,5799.48,84.57,886.03,223.34,114746.19,1193.94,-3411.8258893399325,-139.2360890069017
173,lowE(2)/lowE(4)-argon-BBG-60,2155.61,106358.03,5442.26,83.01,882.77,209.58,113955.9,1175.36,-4202.115889339941,-157.81608900690185
174,lowE(2)/lowE(4)-argon-BBG-75,2103.99,106782.37,4835.18,81.02,886.29,186.2,113721.53,1153.52,-4436.485889339936,-179.65608900690177
175,lowE(2)/lowE(4)-argon-BBG0,2270.34,112591.79,5636.13,87.43,934.51,217.04,120498.26,1238.99,2340.24411066006,-94.18608900690174
